Recording timestamp	Event	Event value	Gaze direction right X	Gaze direction right Y	Gaze direction right Z	Gaze direction left X	Gaze direction left Y	Gaze direction left Z	Recording media name	Recording media width	Recording media height	Eye movement type	Eye movement type index	Fixation point X	Fixation point Y	
949			0.06270	0.27711	0.95879	-0.09394	0.28711	0.95328	fullstream.mp4	1920	1080	Fixation	3	980	276	
959			0.05637	0.30146	0.95181	-0.08870	0.26035	0.96143	fullstream.mp4	1920	1080	Fixation	3	980	276	
969			0.06163	0.27674	0.95897	-0.09383	0.28510	0.95390	fullstream.mp4	1920	1080	Fixation	3	980	276	
979			0.05681	0.30086	0.95198	-0.08897	0.26120	0.96118	fullstream.mp4	1920	1080	Fixation	3	980	276	
989			0.06171	0.27724	0.95882	-0.09315	0.28595	0.95371	fullstream.mp4	1920	1080	Fixation	3	980	276	
999			0.05712	0.30098	0.95192	-0.08818	0.26288	0.96079	fullstream.mp4	1920	1080	Fixation	3	980	276	
1009			0.06162	0.27770	0.95869	-0.09232	0.28659	0.95359	fullstream.mp4	1920	1080	Fixation	3	980	276	
1019			0.05738	0.30009	0.95218	-0.08784	0.26350	0.96065	fullstream.mp4	1920	1080	Fixation	3	980	276	
1029			0.06278	0.27920	0.95818	-0.09171	0.28659	0.95365	fullstream.mp4	1920	1080	Fixation	3	980	276	
1039			0.05993	0.31319	0.94780	-0.08313	0.26986	0.95930	fullstream.mp4	1920	1080	Fixation	3	980	276	
1049			0.06910	0.30209	0.95077	-0.08329	0.29699	0.95124	fullstream.mp4	1920	1080	Fixation	3	980	276	
1059			0.06534	0.32483	0.94351	-0.07598	0.28889	0.95434	fullstream.mp4	1920	1080	Fixation	3	980	276	
1069			0.06996	0.30555	0.94960	-0.07868	0.31701	0.94515	fullstream.mp4	1920	1080	Fixation	3	980	276	
1079			0.06865	0.32679	0.94260	-0.07792	0.29718	0.95164	fullstream.mp4	1920	1080	Fixation	3	980	276	
1089			0.07100	0.30441	0.94989	-0.08140	0.32069	0.94368	fullstream.mp4	1920	1080	Fixation	3	980	276	
1099			0.07004	0.32603	0.94276	-0.08057	0.29967	0.95063	fullstream.mp4	1920	1080	Fixation	3	980	276	
1109			0.07150	0.30376	0.95006	-0.08181	0.32292	0.94288	fullstream.mp4	1920	1080	Fixation	3	980	276	
1119			0.07088	0.32524	0.94297	-0.08148	0.30055	0.95028	fullstream.mp4	1920	1080	Fixation	3	980	276	
1129			0.07184	0.30230	0.95050	-0.08292	0.32292	0.94279	fullstream.mp4	1920	1080	Fixation	3	980	276	
1139			0.07196	0.32511	0.94293	-0.08485	0.29850	0.95063	fullstream.mp4	1920	1080	Fixation	3	980	276	
1149			0.07288	0.30179	0.95059	-0.08590	0.32302	0.94248	fullstream.mp4	1920	1080	Fixation	3	980	276	
1159			0.07207	0.32493	0.94299	-0.08514	0.29868	0.95055	fullstream.mp4	1920	1080	Fixation	3	980	276	
1169			0.07247	0.30057	0.95100	-0.08593	0.32184	0.94289	fullstream.mp4	1920	1080	Fixation	3	980	276	
1179			0.07148	0.32410	0.94332	-0.08512	0.29736	0.95096	fullstream.mp4	1920	1080	Fixation	3	980	276	
1189			0.07187	0.29969	0.95133	-0.08518	0.32212	0.94286	fullstream.mp4	1920	1080	Fixation	3	980	276	
